[30-Oct-2015 15:20:35 Europe/Berlin] PHP Warning:  Missing argument 1 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Warning:  Missing argument 2 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Warning:  Missing argument 3 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Warning:  Missing argument 4 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Notice:  Undefined variable: nome in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 16
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Notice:  Undefined variable: arquivo_pdf in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 17
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Notice:  Undefined variable: data_inscricao in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 18
[30-Oct-2015 15:20:35 Europe/Berlin] PHP Notice:  Undefined variable: turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 19
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Warning:  Missing argument 1 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Warning:  Missing argument 2 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Warning:  Missing argument 3 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Warning:  Missing argument 4 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 408 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Notice:  Undefined variable: nome in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 16
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Notice:  Undefined variable: arquivo_pdf in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 17
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Notice:  Undefined variable: data_inscricao in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 18
[30-Oct-2015 15:20:39 Europe/Berlin] PHP Notice:  Undefined variable: turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 19
[30-Oct-2015 15:21:41 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Warning:  Missing argument 1 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 411 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Warning:  Missing argument 2 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 411 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Warning:  Missing argument 3 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 411 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Warning:  Missing argument 4 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 411 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Notice:  Undefined variable: nome in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 16
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Notice:  Undefined variable: arquivo_pdf in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 17
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Notice:  Undefined variable: data_inscricao in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 18
[30-Oct-2015 15:21:47 Europe/Berlin] PHP Notice:  Undefined variable: turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 19
[30-Oct-2015 15:22:20 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:23:07 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:24:23 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:26:09 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:27:13 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:28:38 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:30:22 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:36:30 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:36:53 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:38:40 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 15:39:35 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 414
[30-Oct-2015 20:42:58 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\controllers\formandos_controller.php on line 68
[30-Oct-2015 21:14:03 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\controllers\formandos_controller.php on line 68
[14-Nov-2015 16:30:50 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:30:50 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:30:50 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
[14-Nov-2015 16:31:58 America/Sao_Paulo] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\modules\curso.class.php on line 52
